complex_name,protein_path,ligand_description,protein_sequence
ligand_40,mchr1/mchr1_data/mchr1_active/mchr1_active_2_0.79.pdb,Cc1c(C2CC2)nc2ccc(-n3ccc4oc(-c5ccc(Cl)cc5)cc4c3=O)cn12,
ligand_41,mchr1/mchr1_data/mchr1_active/mchr1_active_2_0.79.pdb,O=C(NC1CCN(Cc2ccc3c(c2)OCO3)CC1)c1cc(=O)c2ccc(F)cc2o1,
ligand_42,mchr1/mchr1_data/mchr1_active/mchr1_active_2_0.79.pdb,CON(C)CC1=Cc2ccc(NC(=O)c3ccc(-c4ccc(Cl)cc4)cc3)cc2CC1,
ligand_43,mchr1/mchr1_data/mchr1_active/mchr1_active_2_0.79.pdb,O=C(CN1CCc2cc(-c3ccsc3)ccc2C1C1CCN(C2CCCC2)CC1)Nc1cc(Cl)cc(Cl)c1,
ligand_44,mchr1/mchr1_data/mchr1_active/mchr1_active_2_0.79.pdb,CN(C(=O)c1ccc(OCC2CC2)cc1)[C@@H]1Cc2ccc(CN3CCC(C(C)(C)O)CC3)cc2C1,
ligand_45,mchr1/mchr1_data/mchr1_active/mchr1_active_2_0.79.pdb,COc1ccc2c(c1)c(NC1CCN(Cc3ccc4c(c3)OCO4)CC1)cc(=O)n2C,
ligand_46,mchr1/mchr1_data/mchr1_active/mchr1_active_2_0.79.pdb,Cc1c2cc(-n3ccc(OCc4ccc(Cl)cc4)cc3=O)ccc2nn1C,
ligand_47,mchr1/mchr1_data/mchr1_active/mchr1_active_2_0.79.pdb,COc1ccc(-c2nnc(C(=O)N3CC(Oc4ccc(CN(C)C)c(F)c4)C3)o2)cc1,
ligand_48,mchr1/mchr1_data/mchr1_active/mchr1_active_2_0.79.pdb,Clc1ccc(CN(Cc2ccc(Cl)cc2)c2nn[nH]n2)cc1,
ligand_49,mchr1/mchr1_data/mchr1_active/mchr1_active_2_0.79.pdb,CC(C)N1CCC(C2c3ccc(-c4cccc(C#N)c4)cc3CCN2CC(=O)Nc2cc(Cl)cc(Cl)c2)CC1,
ligand_50,mchr1/mchr1_data/mchr1_active/mchr1_active_2_0.79.pdb,CN(C)CCO/N=C1/c2ccncc2C(=O)c2c1ccn2CCN(C)C,
ligand_51,mchr1/mchr1_data/mchr1_active/mchr1_active_2_0.79.pdb,O=C(CSc1nc2ccccc2c(=O)n1CC1CCCCC1)N1CCOCC1,
ligand_52,mchr1/mchr1_data/mchr1_active/mchr1_active_2_0.79.pdb,CCn1c(-c2ccc(F)cc2)cnc1SCC(=O)N1CCCCC1C,
ligand_53,mchr1/mchr1_data/mchr1_active/mchr1_active_2_0.79.pdb,C/C(=N\Cc1ccncc1)C1=C(O)c2ccccc2C1=O,
ligand_54,mchr1/mchr1_data/mchr1_active/mchr1_active_2_0.79.pdb,CSCCNCc1cn(-c2ccc(F)cc2F)nc1-c1ccccc1C,
ligand_55,mchr1/mchr1_data/mchr1_active/mchr1_active_2_0.79.pdb,Cc1cc(C)c(C)c(S(=O)(=O)NC2CCN(Cc3ccccc3)CC2)c1C.Cl,
ligand_56,mchr1/mchr1_data/mchr1_active/mchr1_active_2_0.79.pdb,Cc1cccc(C)c1OCC(N)C(C)C.I,
ligand_57,mchr1/mchr1_data/mchr1_active/mchr1_active_2_0.79.pdb,c1ccc(N2CCN(c3nc4ccccc4[nH]3)CC2)nc1,
ligand_58,mchr1/mchr1_data/mchr1_active/mchr1_active_2_0.79.pdb,Cc1cc2[nH]c(=O)c(-c3ccccc3)c(O)c2cc1C,
ligand_59,mchr1/mchr1_data/mchr1_active/mchr1_active_2_0.79.pdb,Oc1ccccc1C1=NN[C@H](c2ccccc2O)C1,
ligand_60,mchr1/mchr1_data/mchr1_active/mchr1_active_2_0.79.pdb,CN1C(=O)COc2cc(F)c(N3C(=O)c4ccc(F)cc4C3=O)cc21,
ligand_61,mchr1/mchr1_data/mchr1_active/mchr1_active_2_0.79.pdb,COc1cc2c(cc1OC)C(CC(=O)NC(C)C)CC2,
ligand_62,mchr1/mchr1_data/mchr1_active/mchr1_active_2_0.79.pdb,Cn1nccc1CCOc1ccc(C2CCN(c3ccc4nnc(C(F)(F)F)n4n3)CC2)cc1,
ligand_63,mchr1/mchr1_data/mchr1_active/mchr1_active_2_0.79.pdb,CCCCCCCCCOc1cccc(Cc2cnc(N)nc2N)c1,
ligand_64,mchr1/mchr1_data/mchr1_active/mchr1_active_2_0.79.pdb,CN1CCC=C(C2=NOC(N3CCCC3=O)C2)C1,
ligand_65,mchr1/mchr1_data/mchr1_active/mchr1_active_2_0.79.pdb,CCCCCCCC(=C1C(=O)OC(C)(C)OC1=O)N1CC=CC1,
ligand_66,mchr1/mchr1_data/mchr1_active/mchr1_active_2_0.79.pdb,Cc1cc2c(cc1S(=O)(=O)Nc1ccc(C(C)C)cc1)OCCN2C,
ligand_67,mchr1/mchr1_data/mchr1_active/mchr1_active_2_0.79.pdb,Cc1ccc(N(C(C)C(=O)Nc2ccc3c(c2)OCO3)S(C)(=O)=O)cc1,
ligand_68,mchr1/mchr1_data/mchr1_active/mchr1_active_2_0.79.pdb,Cc1ccc(N(C(=O)c2nnsc2C)C(C(=O)NC(C)C)c2cccc(O)c2)cc1F,
ligand_69,mchr1/mchr1_data/mchr1_active/mchr1_active_2_0.79.pdb,CCS(=O)(=O)N1CCN(C2Cc3ccccc3C2)CC1.O=C(O)C(=O)O,
ligand_70,mchr1/mchr1_data/mchr1_active/mchr1_active_2_0.79.pdb,Cc1cc(C)cc(Sc2c(C(C)C)c(=O)[nH]c(=O)n2CCC2C=CCC2)c1,
ligand_71,mchr1/mchr1_data/mchr1_active/mchr1_active_2_0.79.pdb,CC1CCN(c2c(NCc3ccc(C(=O)NCCc4ccc(Cl)cc4)cc3)c(=O)c2=O)CC1,
ligand_72,mchr1/mchr1_data/mchr1_active/mchr1_active_2_0.79.pdb,O=C(Oc1coc(CSc2ncccn2)cc1=O)c1ccccc1[N+](=O)[O-],
ligand_73,mchr1/mchr1_data/mchr1_active/mchr1_active_2_0.79.pdb,O=C(Nc1ccc(N2CCOCC2)cc1)c1cccc(S(=O)(=O)N2CCCCCC2)c1,
ligand_74,mchr1/mchr1_data/mchr1_active/mchr1_active_2_0.79.pdb,O=C(/C=C/c1ccc(Cl)cc1Cl)NCc1ccncc1,
ligand_75,mchr1/mchr1_data/mchr1_active/mchr1_active_2_0.79.pdb,O=C(CSc1nc2ccccc2s1)NCCOc1ccccc1,
ligand_76,mchr1/mchr1_data/mchr1_active/mchr1_active_2_0.79.pdb,CC1=NN(C(=O)Cc2ccc([N+](=O)[O-])cc2)C(O)(C(F)(F)C(F)(F)F)C1,
ligand_77,mchr1/mchr1_data/mchr1_active/mchr1_active_2_0.79.pdb,CCCC(c1nnnn1CC(=O)OCC)N(Cc1cc2ccc(C)cc2nc1O)C1CCCC1,
ligand_78,mchr1/mchr1_data/mchr1_active/mchr1_active_2_0.79.pdb,O=C(O)c1ccc2c(c1)ncn2Cc1ccc(C(F)(F)F)cc1,
ligand_79,mchr1/mchr1_data/mchr1_active/mchr1_active_2_0.79.pdb,CNC1CC(=O)C(C)(c2ccc(-c3ccccc3)cc2)OC1OC,
ligand_80,mchr1/mchr1_data/mchr1_active/mchr1_active_2_0.79.pdb,NS(=O)(=O)c1cc2cc(CN3CCOCC3)sc2o1,
ligand_81,mchr1/mchr1_data/mchr1_active/mchr1_active_2_0.79.pdb,O=C(O)c1cn(C2CC2)c2cc(N3CCN(c4nc5ccccc5[nH]4)CC3)c(F)cc2c1=O,
ligand_82,mchr1/mchr1_data/mchr1_active/mchr1_active_2_0.79.pdb,O=c1c2ccc(Cl)cc2oc2ccc(CNCCO)cc12,
ligand_83,mchr1/mchr1_data/mchr1_active/mchr1_active_2_0.79.pdb,Cc1cc(C(=O)CSCCCn2c(O)nc3ccccc32)c(C)n1C,
ligand_84,mchr1/mchr1_data/mchr1_active/mchr1_active_2_0.79.pdb,Cc1ccc(C(=O)Nc2ncc(Cl)s2)c(O)c1,
ligand_85,mchr1/mchr1_data/mchr1_active/mchr1_active_2_0.79.pdb,CN(CC(=O)NC(=O)NCc1ccco1)CC(=O)Nc1ccccc1Cl,
ligand_86,mchr1/mchr1_data/mchr1_active/mchr1_active_2_0.79.pdb,C=CCn1c(SCc2cc(=O)n3ccsc3n2)nc2cc(Cl)ccc2c1=O,
ligand_87,mchr1/mchr1_data/mchr1_active/mchr1_active_2_0.79.pdb,Cc1ccc(NC(=O)/C(C#N)=C/c2ccccc2Cl)cc1C,
ligand_88,mchr1/mchr1_data/mchr1_active/mchr1_active_2_0.79.pdb,Cc1ccccc1Cn1c(=O)n(CCCC(=O)NCc2ccco2)c(=O)c2ccccc21,
ligand_89,mchr1/mchr1_data/mchr1_active/mchr1_active_2_0.79.pdb,COc1ccccc1N1CCN(C(CNC(=O)c2ccco2)c2cccnc2)CC1,
ligand_90,mchr1/mchr1_data/mchr1_active/mchr1_active_2_0.79.pdb,O=C(NCc1ccccc1)c1csc2c1CCCCC2,
ligand_91,mchr1/mchr1_data/mchr1_active/mchr1_active_2_0.79.pdb,CC(=O)c1ccc(NC(=O)CSc2nnc(NC(=O)NC3CCCCC3)s2)cc1,
ligand_92,mchr1/mchr1_data/mchr1_active/mchr1_active_2_0.79.pdb,Cl.Cl.Nc1nc(-c2ccc(Cl)c(Cl)c2)c(-c2ccncc2)s1,
ligand_93,mchr1/mchr1_data/mchr1_active/mchr1_active_2_0.79.pdb,CCOC(=O)N1CCc2c(sc3c2C(O)=NC(c2cc(OC)c(OC)c(OC)c2)N3)C1,
ligand_94,mchr1/mchr1_data/mchr1_active/mchr1_active_2_0.79.pdb,CCCCNC(=S)N1C[C@H](NC(C)=O)[C@H](O)[C@H](O)[C@H]1CO,
ligand_95,mchr1/mchr1_data/mchr1_active/mchr1_active_2_0.79.pdb,O=C(c1ccc(-c2ccccc2)c(F)c1)C1CCCN(CCO)C1,
ligand_96,mchr1/mchr1_data/mchr1_active/mchr1_active_2_0.79.pdb,FC(F)Oc1ccc(NC(=S)N2CCc3ccccc32)cc1,
ligand_97,mchr1/mchr1_data/mchr1_active/mchr1_active_2_0.79.pdb,CCOC(=O)C1CCN(C(=O)Cn2c(=O)c3cccn3c3cccnc32)CC1,
ligand_98,mchr1/mchr1_data/mchr1_active/mchr1_active_2_0.79.pdb,Clc1ccc(/C=N/c2nc3ccccc3s2)cc1,
ligand_99,mchr1/mchr1_data/mchr1_active/mchr1_active_2_0.79.pdb,O=c1[nH]c(=O)n([C@H]2C[C@H](O)[C@@H](CO)O2)cc1-c1nc2ccc(C(F)(F)F)cc2[nH]1,
